User,Gesture Type,Number of Training Examples,Training Set Contents,RecoResult GestureType,RecoResult Score,CorrectIncorrect[1/0]
2,question_mark02,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",caret,0.8058,0
2,rectangle08,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",rectangle,0.8571,1
2,check01,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",check,0.9212,1
2,x02,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",x,0.8451,1
2,arrow08,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",arrow,0.9138,1
2,pigtail05,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",x,0.7738,0
2,right_curly_brace05,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",right_curly_brace,0.8518,1
2,v08,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",v,0.9649,1
2,circle10,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",circle,0.9001,1
2,left_curly_brace10,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",left_curly_brace,0.8493,1
2,left_sq_bracket05,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",left_sq_bracket,0.9211,1
2,star04,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",star,0.8888,1
2,delete_mark03,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",delete_mark,0.8531,1
2,triangle02,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",triangle,0.8415,1
2,right_sq_bracket01,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",right_sq_bracket,0.88,1
2,caret05,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",caret,0.8718,1
2,question_mark09,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",caret,0.7818,0
2,rectangle10,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",rectangle,0.8102,1
2,check06,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",check,0.8329,1
2,x02,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",x,0.8936,1
2,arrow02,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",arrow,0.8007,1
2,pigtail02,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",x,0.7915,0
2,right_curly_brace08,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",right_curly_brace,0.7792,1
2,v09,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",v,0.9235,1
2,circle08,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",circle,0.8616,1
2,left_curly_brace06,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",left_curly_brace,0.9396,1
2,left_sq_bracket04,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",left_sq_bracket,0.9059,1
2,star03,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",star,0.7509,1
2,delete_mark01,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",delete_mark,0.8175,1
2,triangle05,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",triangle,0.8558,1
2,right_sq_bracket07,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",right_sq_bracket,0.8797,1
2,caret05,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",caret,0.8734,1
2,question_mark08,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",caret,0.8072,0
2,rectangle04,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",rectangle,0.8455,1
2,check05,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",check,0.9539,1
2,x09,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",x,0.912,1
2,arrow01,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",arrow,0.8665,1
2,pigtail05,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",pigtail,0.9052,1
2,right_curly_brace02,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",right_curly_brace,0.8791,1
2,v01,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",check,0.8548,0
2,circle06,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",circle,0.9429,1
2,left_curly_brace10,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",left_curly_brace,0.8493,1
2,left_sq_bracket07,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",left_sq_bracket,0.9316,1
2,star02,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",star,0.8531,1
2,delete_mark06,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",delete_mark,0.9,1
2,triangle08,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",triangle,0.854,1
2,right_sq_bracket01,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",right_sq_bracket,0.8778,1
2,caret06,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",caret,0.8123,1
2,question_mark05,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",caret,0.8309,0
2,rectangle01,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",rectangle,0.8951,1
2,check10,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",v,0.797,0
2,x10,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",x,0.8734,1
2,arrow02,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",arrow,0.8338,1
2,pigtail10,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",pigtail,0.8717,1
2,right_curly_brace05,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",right_curly_brace,0.9205,1
2,v07,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",v,0.9822,1
2,circle05,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",circle,0.8915,1
2,left_curly_brace04,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",left_curly_brace,0.8845,1
2,left_sq_bracket05,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",left_curly_brace,0.8895,0
2,star09,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",star,0.7728,1
2,delete_mark01,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",delete_mark,0.8925,1
2,triangle09,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",triangle,0.86,1
2,right_sq_bracket05,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",right_sq_bracket,0.8435,1
2,caret08,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",caret,0.9008,1
2,question_mark03,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",caret,0.7738,0
2,rectangle09,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",rectangle,0.9021,1
2,check05,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",check,0.9003,1
2,x09,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",x,0.8768,1
2,arrow10,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",arrow,0.9996,1
2,pigtail09,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",pigtail,0.7686,1
2,right_curly_brace04,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",right_curly_brace,0.8156,1
