User,Gesture Type,RandomIteration[1to100],#ofTrainingExamples[E],Number of Training Examples,Training Set Contents,RecoResult GestureType,RecoResult Score,CorrectIncorrect[1/0]
1,check08,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",check,0.9006,1
1,pigtail02,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",pigtail,0.8895,1
1,star06,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",star,0.7089,1
1,right_sq_bracket08,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",right_sq_bracket,0.9416,1
1,left_sq_bracket07,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",left_sq_bracket,0.9479,1
1,right_curly_brace08,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",right_sq_bracket,0.8965,0
1,delete06,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",delete,0.9315,1
1,x06,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",x,0.909,1
1,rectangle03,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",rectangle,0.9391,1
1,triangle06,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",triangle,0.8898,1
1,arrow03,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",arrow,0.9094,1
1,zig-zag02,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",zig-zag,0.9146,1
1,left_curly_brace09,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",left_curly_brace,0.907,1
1,circle10,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",circle,0.9523,1
1,caret09,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",caret,0.8963,1
1,v09,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",v,0.98,1
1,check08,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",check,0.9407,1
1,pigtail04,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",pigtail,0.9528,1
1,star10,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",star,0.9195,1
1,right_sq_bracket09,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",right_sq_bracket,0.9656,1
1,left_sq_bracket04,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",left_sq_bracket,0.9441,1
1,right_curly_brace03,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",right_sq_bracket,0.8888,0
1,delete06,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",delete,0.9171,1
1,x08,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",x,0.8214,1
1,rectangle08,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",rectangle,0.9638,1
1,triangle01,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",triangle,0.8682,1
1,arrow08,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",arrow,0.8799,1
1,zig-zag01,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",zig-zag,0.8547,1
1,left_curly_brace08,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",left_curly_brace,0.9369,1
1,circle05,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",circle,0.9594,1
1,caret04,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",caret,0.8981,1
1,v03,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",v,0.9648,1
1,check05,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",check,0.9995,1
1,pigtail10,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",pigtail,0.8618,1
1,star07,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",star,0.8232,1
1,right_sq_bracket08,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",right_sq_bracket,0.9416,1
1,left_sq_bracket07,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",left_sq_bracket,0.9479,1
1,right_curly_brace04,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",right_sq_bracket,0.8997,0
1,delete04,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",delete,0.9051,1
1,x07,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",x,0.9108,1
1,rectangle10,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",rectangle,0.9673,1
1,triangle08,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",rectangle,0.8498,0
1,arrow07,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",arrow,0.9007,1
1,zig-zag06,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",zig-zag,0.8695,1
1,left_curly_brace01,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",left_curly_brace,0.8829,1
